environment,algorithm,id,time,steps,reward,episode_length,coins,flag_get,life,score,stage,status,time_remaining,world,x_pos
SuperMarioBros-v0,A3C,thirsty_austin,44.22074913978577,1419,757.0000000000166,517,1,False,256,200,1,small,0,1,434
SuperMarioBros-v0,A3C,thirsty_austin,105.92140293121338,3799,837.4999999999998,21,0,False,256,0,1,small,395,1,315
SuperMarioBros-v0,A3C,thirsty_austin,167.6631519794464,6184,837.4999999999998,21,0,False,256,0,1,small,395,1,315
SuperMarioBros-v0,A3C,thirsty_austin,229.44666504859924,8630,837.4999999999998,21,0,False,256,0,1,small,395,1,315
SuperMarioBros-v0,A3C,thirsty_austin,291.230525970459,10962,837.4999999999998,21,0,False,256,0,1,small,395,1,315
SuperMarioBros-v0,A3C,thirsty_austin,353.78030800819397,13114,837.4999999999998,21,0,False,256,0,1,small,395,1,315
SuperMarioBros-v0,A3C,thirsty_austin,415.5186960697174,15448,837.4999999999998,21,0,False,256,0,1,small,395,1,315
SuperMarioBros-v0,A3C,thirsty_austin,477.43649792671204,17774,837.4999999999998,21,0,False,256,0,1,small,395,1,315
SuperMarioBros-v0,A3C,thirsty_austin,539.3966159820557,20171,837.4999999999998,21,0,False,256,0,1,small,395,1,315
SuperMarioBros-v0,A3C,adoring_morse,45.541749000549316,1408,1779.0000000000364,530,1,False,256,400,1,small,0,1,722
SuperMarioBros-v0,A3C,adoring_morse,107.96753311157227,3548,840.4999999999998,23,0,False,256,0,1,small,395,1,314
SuperMarioBros-v0,A3C,adoring_morse,170.17112588882446,5714,840.4999999999998,23,0,False,256,0,1,small,395,1,314
SuperMarioBros-v0,A3C,adoring_morse,232.065612077713,7972,840.4999999999998,23,0,False,256,0,1,small,395,1,314
SuperMarioBros-v0,A3C,adoring_morse,294.4514100551605,10223,840.4999999999998,23,0,False,256,0,1,small,395,1,314
SuperMarioBros-v0,A3C,adoring_morse,356.406133890152,12432,840.4999999999998,23,0,False,256,0,1,small,395,1,314
SuperMarioBros-v0,A3C,adoring_morse,418.29120802879333,14682,840.4999999999998,23,0,False,256,0,1,small,395,1,314
SuperMarioBros-v0,A3C,adoring_morse,480.2533459663391,16976,840.4999999999998,23,0,False,256,0,1,small,395,1,314
SuperMarioBros-v0,A3C,adoring_morse,542.3687191009521,19273,840.4999999999998,23,0,False,256,0,1,small,395,1,314
SuperMarioBros-v0,A3C,stupefied_keller,2.802564859390259,101,849.4999999999998,24,0,False,256,0,1,small,395,1,314
SuperMarioBros-v0,A3C,cocky_bartik,47.02480697631836,1525,1377.199999999992,553,1,False,256,200,1,small,392,1,289
